female,Gender,age,party_id_leaners,Republican,race,traditional_gender,vote_trump
0,Male,59,Democrat,0,black,12,0
0,Male,41,Republican,1,white,12,1
1,Female,58,Democrat,0,black,12,0
0,Male,88,Republican,1,white,12,1
1,Female,47,Republican,1,white,12,0
1,Female,37,Democrat,0,asian,12,0
0,Male,26,Republican,1,white,12,1
0,Male,72,Democrat,0,white,12,0
0,Male,52,Democrat,0,hispanic,12,0
1,Female,21,Republican,1,hispanic,12,1
0,Male,27,Republican,1,white,12,1
0,Male,75,Democrat,0,white,12,0
0,Male,58,Democrat,0,white,12,0
0,Male,71,Republican,1,white,12,1
1,Female,71,Democrat,0,asian,12,0
1,Female,40,Democrat,0,white,12,0
0,Male,59,Republican,1,white,12,1
1,Female,40,Republican,1,white,12,1
0,Male,21,Republican,1,other,12,1
1,Female,30,Republican,1,white,12,0
0,Male,50,Republican,1,white,12,1
1,Female,53,Republican,1,white,12,1
0,Male,50,Democrat,0,black,12,0
1,Female,34,Republican,1,white,12,1
0,Male,66,Democrat,0,hispanic,12,0
0,Male,39,Democrat,0,black,12,0
0,Male,33,Republican,1,hispanic,12,1
0,Male,42,Republican,1,asian,12,0
0,Male,55,Democrat,0,white,12,0
0,Male,28,Republican,1,hispanic,12,0
0,Male,39,Democrat,0,black,12,0
0,Male,58,Republican,1,white,12,1
0,Male,26,Democrat,0,asian,12,0
0,Male,45,Democrat,0,hispanic,12,0
0,Male,52,Republican,1,hispanic,12,1
1,Female,65,Republican,1,white,12,1
0,Male,45,Republican,1,white,12,1
0,Male,29,Democrat,0,hispanic,12,0
1,Female,60,Democrat,0,black,12,0
0,Male,75,Republican,1,white,12,1
0,Male,49,Republican,1,white,12,1
0,Male,66,Democrat,0,black,12,0
1,Female,24,Republican,1,white,12,1
0,Male,62,Republican,1,white,12,1
0,Male,74,Democrat,0,white,12,0
1,Female,42,Democrat,0,hispanic,12,0
1,Female,60,Republican,1,white,12,1
1,Female,52,Democrat,0,white,12,1
0,Male,79,Republican,1,white,12,1
1,Female,54,Republican,1,white,12,0
0,Male,68,Democrat,0,white,12,0
0,Male,72,Republican,1,white,12,1
0,Male,43,Republican,1,other,12,1
0,Male,64,Democrat,0,white,12,0
0,Male,47,Republican,1,hispanic,12,1
0,Male,67,Democrat,0,white,12,0
1,Female,47,Republican,1,other,12,1
0,Male,61,Republican,1,white,12,1
1,Female,74,Republican,1,white,12,1
1,Female,18,Republican,1,white,12,1
1,Female,27,Democrat,0,black,12,0
0,Male,46,Republican,1,white,12,1
1,Female,82,Republican,1,white,12,1
0,Male,60,Democrat,0,white,12,0
0,Male,74,Republican,1,white,12,0
0,Male,74,Republican,1,white,12,1
1,Female,20,Republican,1,white,12,1
0,Male,52,Republican,1,hispanic,12,0
0,Male,51,Republican,1,white,12,0
1,Female,54,Democrat,0,black,12,0
0,Male,47,Democrat,0,white,12,0
0,Male,80,Democrat,0,white,12,0
1,Female,59,Republican,1,white,12,0
1,Female,82,Republican,1,white,12,1
0,Male,24,Republican,1,hispanic,12,0
0,Male,47,Republican,1,white,12,1
1,Female,31,Republican,1,white,12,1
0,Male,24,Democrat,0,white,12,0
0,Male,70,Republican,1,white,12,0
1,Female,37,Democrat,0,black,12,0
0,Male,60,Republican,1,white,12,1
1,Female,50,Republican,1,white,12,0
0,Male,37,Democrat,0,hispanic,12,0
1,Female,30,Republican,1,white,12,1
1,Female,46,Democrat,0,white,12,0
0,Male,37,Republican,1,white,12,1
0,Male,68,Republican,1,white,12,1
0,Male,62,Democrat,0,white,12,0
0,Male,33,Republican,1,white,12,1
1,Female,29,Republican,1,white,12,1
0,Male,80,Republican,1,white,12,1
0,Male,56,Republican,1,white,12,0
0,Male,18,Republican,1,white,12,1
1,Female,64,Republican,1,white,12,0
0,Male,20,Democrat,0,white,12,0
1,Female,71,Democrat,0,white,12,0
0,Male,23,Republican,1,white,12,1
1,Female,24,Republican,1,white,12,1
0,Male,38,Republican,1,white,12,1
1,Female,27,Democrat,0,white,12,0
1,Female,29,Democrat,0,black,12,0
1,Female,59,Democrat,0,white,12,0
1,Female,50,Republican,1,white,12,1
1,Female,76,Republican,1,white,12,1
1,Female,19,Republican,1,white,12,1
1,Female,61,Republican,1,white,12,1
0,Male,58,Republican,1,white,13,1
0,Male,64,Republican,1,white,13,1
1,Female,59,Democrat,0,white,13,0
0,Male,68,Democrat,0,black,13,0
